,Isolate,,HwaviEstimate,StandardError,DF,t-value,LowerCI,UpperCI,p-value
1,1.01.01,1,5.5872,0.5704,6.4,9.8,4.2104,6.964,0
2,1.01.02,2,5.2628,0.5704,6.4,9.23,3.886,6.6396,1.00E-04
3,1.01.03,3,5.0128,0.5704,6.4,8.79,3.636,6.3896,1.00E-04
4,1.01.04,4,6.2872,0.5704,6.4,11.02,4.9104,7.664,0
5,1.01.06,5,6.2372,0.5704,6.4,10.93,4.8604,7.614,0
6,1.01.15,6,5.9872,0.5704,6.4,10.5,4.6104,7.364,0
7,1.02.01,7,6,0.7642,5.2,7.85,4.0542,7.9458,5.00E-04
8,1.02.02,8,5.9372,0.5704,6.4,10.41,4.5604,7.314,0
9,1.02.03,9,6.4872,0.5704,6.4,11.37,5.1104,7.864,0
10,1.02.04,10,5,0.7642,5.2,6.54,3.0542,6.9458,0.0011
11,1.02.06,11,5.35,0.7642,5.2,7,3.4042,7.2958,8.00E-04
12,1.02.15,12,6.0872,0.5704,6.4,10.67,4.7104,7.464,0
13,1.02.16,13,5.0128,0.5704,6.4,8.79,3.636,6.3896,1.00E-04
14,1.02.17,14,4.4128,0.5704,6.4,7.74,3.036,5.7896,2.00E-04
15,1.02.18,15,5.35,0.7642,5.2,7,3.4042,7.2958,8.00E-04
16,1.02.20,16,4.9628,0.5704,6.4,8.7,3.586,6.3396,1.00E-04
17,1.03.02,17,5.3128,0.5704,6.4,9.31,3.936,6.6896,1.00E-04
18,1.03.04,18,5.05,0.7642,5.2,6.61,3.1042,6.9958,0.0011
19,1.03.12,19,5.35,0.7642,5.2,7,3.4042,7.2958,8.00E-04
20,1.03.16,20,5.4,0.7642,5.2,7.07,3.4542,7.3458,8.00E-04
21,1.03.18,21,4.95,0.7642,5.2,6.48,3.0042,6.8958,0.0012
22,1.03.19,22,5.45,0.7642,5.2,7.13,3.5042,7.3958,7.00E-04
23,1.03.20,23,6.2872,0.5704,6.4,11.02,4.9104,7.664,0
24,1.03.22,24,5.3128,0.5704,6.4,9.31,3.936,6.6896,1.00E-04
25,1.03.23,25,5.7,0.7642,5.2,7.46,3.7542,7.6458,6.00E-04
26,1.04.01,26,4.9628,0.5704,6.4,8.7,3.586,6.3396,1.00E-04
27,1.04.02,27,4.9128,0.5704,6.4,8.61,3.536,6.2896,1.00E-04
28,1.04.03,28,5.7,0.7642,5.2,7.46,3.7542,7.6458,6.00E-04
29,1.04.04,29,5.45,0.7642,5.2,7.13,3.5042,7.3958,7.00E-04
30,1.04.05,30,6.05,0.7642,5.2,7.92,4.1042,7.9958,4.00E-04
31,1.04.12,31,5.25,0.7642,5.2,6.87,3.3042,7.1958,9.00E-04
32,1.04.15,32,5.65,0.7642,5.2,7.39,3.7042,7.5958,6.00E-04
33,1.04.17,33,4.95,0.7642,5.2,6.48,3.0042,6.8958,0.0012
34,1.04.19,34,5.25,0.7642,5.2,6.87,3.3042,7.1958,9.00E-04
35,1.04.20,35,4.6628,0.5704,6.4,8.17,3.286,6.0396,1.00E-04
36,1.04.21,36,6.15,0.7642,5.2,8.05,4.2042,8.0958,4.00E-04
37,1.04.25,37,5.65,0.7642,5.2,7.39,3.7042,7.5958,6.00E-04
38,1.05.04,38,5.55,0.7642,5.2,7.26,3.6042,7.4958,7.00E-04
39,1.05.11,39,5.4,0.7642,5.2,7.07,3.4542,7.3458,8.00E-04
40,1.05.14,40,5.35,0.7642,5.2,7,3.4042,7.2958,8.00E-04
41,1.05.16,41,4.65,0.7642,5.2,6.09,2.7042,6.5958,0.0015
42,1.05.17,42,5.5,0.7642,5.2,7.2,3.5542,7.4458,7.00E-04
43,1.05.22,43,5.15,0.7642,5.2,6.74,3.2042,7.0958,0.001
44,1.05.24,44,5.5,0.7642,5.2,7.2,3.5542,7.4458,7.00E-04
45,2.04.03,45,5.5,0.7642,5.2,7.2,3.5542,7.4458,7.00E-04
46,2.04.04,46,5.4,0.7642,5.2,7.07,3.4542,7.3458,8.00E-04
47,2.04.08,47,5.3333,0.7711,5.4,6.92,3.3898,7.2768,7.00E-04
48,2.04.09,48,5.6,0.7642,5.2,7.33,3.6542,7.5458,6.00E-04
49,2.04.11,49,5.05,0.7642,5.2,6.61,3.1042,6.9958,0.0011
50,2.04.12,50,5.05,0.7642,5.2,6.61,3.1042,6.9958,0.0011
51,2.04.14,51,5.9,0.7642,5.2,7.72,3.9542,7.8458,5.00E-04
52,2.04.17,52,4.7,0.7642,5.2,6.15,2.7542,6.6458,0.0015
53,2.04.18,53,5.7,0.7642,5.2,7.46,3.7542,7.6458,6.00E-04
54,2.04.20,54,5.7,0.7642,5.2,7.46,3.7542,7.6458,6.00E-04
55,2.04.21,55,6.8667,0.7711,5.4,8.91,4.9232,8.8102,2.00E-04
56,2004,56,5.8,0.7642,5.2,7.59,3.8542,7.7458,5.00E-04
57,94.4,57,5.75,0.7642,5.2,7.52,3.8042,7.6958,6.00E-04
58,Acacia,58,7.3147,0.3634,6.5,20.13,6.4428,8.1865,0
59,Apple404,59,6.3,0.7642,5.2,8.24,4.3542,8.2458,4.00E-04
60,Apple517,60,7.44,0.4424,14.2,16.82,6.4922,8.3878,0
61,Ausubel,61,6.65,0.7642,5.2,8.7,4.7042,8.5958,3.00E-04
62,B05.10,62,7.402,0.3627,6.5,20.41,6.5311,8.273,0
63,BMM,63,6.5,0.7642,5.2,8.51,4.5542,8.4458,3.00E-04
64,BPA1,64,6.25,0.7642,5.2,8.18,4.3042,8.1958,4.00E-04
65,DavisNavel,65,6.8021,0.4244,11.6,16.03,5.8736,7.7306,0
66,EsparatoFresa,66,5.45,0.7642,5.2,7.13,3.5042,7.3958,7.00E-04
67,FD1,67,5.85,0.7642,5.2,7.66,3.9042,7.7958,5.00E-04
68,FD2,68,6.45,0.7642,5.2,8.44,4.5042,8.3958,3.00E-04
69,Fresa525,69,5.95,0.7642,5.2,7.79,4.0042,7.8958,5.00E-04
70,FresaSD,70,5.62,0.3968,9.2,14.16,4.725,6.515,0
71,Gallo1,71,5.8611,0.3778,7.6,15.51,4.982,6.7402,0
72,Gallo2,72,6.6,0.7642,5.2,8.64,4.6542,8.5458,3.00E-04
73,Geranium,73,5.7454,0.3512,5.7,16.36,4.8764,6.6145,0
74,Grape,74,8.3199,0.3921,8.8,21.22,7.43,9.2098,0
75,KatieTomato,75,5.4219,0.3535,5.9,15.34,4.5526,6.2911,0
76,KernA2,76,5.0625,0.5428,5.3,9.33,3.6874,6.4375,2.00E-04
77,KernB1,77,5.5372,0.5704,6.4,9.71,4.1604,6.914,0
78,KernB2,78,6.7872,0.5704,6.4,11.9,5.4104,8.164,0
79,KGB1,79,4.85,0.7642,5.2,6.35,2.9042,6.7958,0.0013
80,KGB2,80,5.2,0.7642,5.2,6.8,3.2542,7.1458,9.00E-04
81,MEAP6G,81,5.65,0.7642,5.2,7.39,3.7042,7.5958,6.00E-04
82,Mex03,82,5.6628,0.5704,6.4,9.93,4.286,7.0396,0
83,Molly,83,5.1,0.7642,5.2,6.67,3.1542,7.0458,0.001
84,Navel,84,5.1,0.7642,5.2,6.67,3.1542,7.0458,0.001
85,NobleRot,85,7.1999,0.3921,8.8,18.36,6.31,8.0898,0
86,Peachy,86,5.5,0.7642,5.2,7.2,3.5542,7.4458,7.00E-04
87,Pepper,87,5.9021,0.4244,11.6,13.91,4.9736,6.8306,0
88,PepperSub,88,5.0021,0.4244,11.6,11.79,4.0736,5.9306,0
89,PhiloMenlo,89,5.25,0.7642,5.2,6.87,3.3042,7.1958,9.00E-04
90,Rasp,90,4.95,0.7642,5.2,6.48,3.0042,6.8958,0.0012
91,Rose,91,6.5521,0.4244,11.6,15.44,5.6236,7.4806,0
92,Supersteak,92,6.9457,0.361,6.4,19.24,6.0757,7.8158,0
93,Triple3,93,5.3872,0.5704,6.4,9.44,4.0104,6.764,1.00E-04
94,Triple7,94,6.1872,0.5704,6.4,10.85,4.8104,7.564,0
95,UKRazz,95,6.1199,0.3921,8.8,15.61,5.23,7.0098,0
